,Name,Type,County,Population,Land Area miles2,Address,Indicator,Latitude,Longitude
353,Rohnert Park,City,Sonoma,40971,7.0,"Rohnert Park, California",0.0,38.3396367,-122.7010984
354,Rolling Hills,City,Los Angeles,1860,2.99,"Rolling Hills, California",0.0,33.7668041,-118.3496623
355,Rolling Hills Estates,City,Los Angeles,8067,3.57,"Rolling Hills Estates, California",0.0,33.7877943,-118.3581284
356,Rosemead,City,Los Angeles,53764,5.16,"Rosemead, California",0.0,34.0676169,-118.0879763
358,Ross,Town,Marin,2415,1.56,"Ross, California",0.0,37.9624239,-122.5549775
360,St. Helena,City,Napa,5814,4.99,"St. Helena, California",0.0,38.5052288,-122.4700424
361,Salinas,City,Monterey,150441,23.18,"Salinas, California",0.0,36.6744117,-121.6550372
362,San Anselmo,Town,Marin,12336,2.68,"San Anselmo, California",0.0,37.9744323,-122.5615032
363,San Bernardino,City,San Bernardino,209924,59.2,"San Bernardino, California",0.0,34.8253019,-116.0833144
364,San Bruno,City,San Mateo,41114,5.48,"San Bruno, California",0.0,37.6304904,-122.4110835
369,San Fernando,City,Los Angeles,23645,2.37,"San Fernando, California",0.0,34.28497,-118.437652
371,San Gabriel,City,Los Angeles,39718,4.14,"San Gabriel, California",0.0,34.0991325,-118.1086041
372,San Jacinto,City,Riverside,44199,25.72,"San Jacinto, California",0.0,33.7839664,-116.9589086
373,San Joaquin,City,Fresno,4001,1.15,"San Joaquin, California",0.0,37.9372901,-121.2773719
375,San Juan Bautista,City,San Benito,1862,0.71,"San Juan Bautista, California",0.0,36.8455173,-121.5379894
377,San Leandro,City,Alameda,84950,13.34,"San Leandro, California",0.0,37.7249296,-122.1560768
379,San Marcos,City,San Diego,83781,24.37,"San Marcos, California",0.0,33.1433723,-117.1661449
380,San Marino,City,Los Angeles,13147,3.77,"San Marino, California",0.0,34.1215947,-118.1057394
382,San Pablo,City,Contra Costa,29139,2.63,"San Pablo, California",0.0,37.9621457,-122.3455263
385,Sand City,City,Monterey,334,0.56,"Sand City, California",0.0,36.6171819,-121.8482855
386,Sanger,City,Fresno,24270,5.52,"Sanger, California",0.0,36.708006,-119.5559652
389,Santa Clara,City,Santa Clara,116468,18.41,"Santa Clara, California",0.0,37.2333253,-121.6846349
392,Santa Fe Springs,City,Los Angeles,16223,8.87,"Santa Fe Springs, California",0.0,33.9480787,-118.0691499
395,Santa Paula,City,Ventura,29321,4.59,"Santa Paula, California",0.0,34.3541659,-119.0592705
397,Santee,City,San Diego,53413,16.24,"Santee, California",0.0,32.8383828,-116.9739167
398,Saratoga,City,Santa Clara,29926,12.38,"Saratoga, California",0.0,37.2638324,-122.0230146
399,Sausalito,City,Marin,7061,1.77,"Sausalito, California",0.0,37.8590272,-122.4854694
400,Scotts Valley,City,Santa Cruz,11580,4.59,"Scotts Valley, California",0.0,37.0510595,-122.0146841
401,Seal Beach,City,Orange,24168,11.29,"Seal Beach, California",0.0,33.7423967,-118.1055926
402,Seaside,City,Monterey,33025,9.24,"Seaside, California",0.0,36.6253775,-121.81728435938528
403,Sebastopol,City,Sonoma,7379,1.85,"Sebastopol, California",0.0,38.3845125,-122.8332501583744
